#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
463,-199.13045677068806,377.1434391123257,0.020780882334166598
464,-201.92622578299205,390.00732176065964,0.020780882334166598
465,-190.03302611585517,333.39464946316775,0.020780882334166598
466,-176.238072832732,245.64499924787282,0.020780882334166598
467,-175.13820508426875,237.3146168879253,0.020780882334166598
468,-186.07986804835946,300.9174824439361,0.020780882334166598
469,-196.18179148300382,362.23207691671126,0.020780882334166598
470,-193.50057000233429,342.9068740199308,0.020780882334166598
471,-181.25297026586222,282.8217077750617,0.020780882334166598
472,-173.5417574917225,235.39072620800692,0.020780882334166598
473,-179.32473270597234,269.3978974391393,0.020780882334166598
474,-191.4814829381084,354.7256293992591,0.020780882334166598
475,-196.83623261450438,400.5563226094595,0.020780882334166598
476,-192.36643225857432,375.77041826493473,0.020780882334166598
477,-187.51332956620055,339.00942473150604,0.020780882334166598
478,-189.0508797570937,346.87868478467624,0.020780882334166598
479,-195.21208192735924,370.48707932315887,0.020780882334166598
480,-197.1643095564704,392.7285308249774,0.020780882334166598
481,-189.2839877567648,338.9715305207722,0.020780882334166598
482,-177.59595382453193,268.0853936015492,0.020780882334166598
483,-173.30163309789728,250.33915574665556,0.020780882334166598
484,-181.98633465377327,316.72494128109406,0.020780882334166598
485,-195.0645362857703,388.4885871392432,0.020780882334166598
486,-199.18708936935468,417.85266527186127,0.020780882334166598
487,-189.57977379410104,374.6010452432729,0.020780882334166598
488,-176.45220426216295,296.5422133762507,0.020780882334166598
489,-172.98629589143732,267.6863692191011,0.020780882334166598
490,-180.19171471366528,311.4880868151885,0.020780882334166598
491,-190.17865171157692,375.90227569752625,0.020780882334166598
492,-194.01117359387612,414.34319611196673,0.020780882334166598
493,-188.83388039690547,381.3206155658946,0.020780882334166598
494,-182.2048516178703,336.75701707842023,0.020780882334166598
